smiles,vina_score
Cc1cccc(Nc2ccccc2Cl)c1,-8.117
CSC(=O)c1cccc(COc2cc(F)ccc2C)c1,-8.574
CCNC(=O)c1cccc(Cc2ccccn2)c1,-8.701
CC(=O)CCCCC(=O)Nc1cc(F)ccc1Cl,-7.611
COc1cccc(C(=O)c2ccccc2Cl)c1,-8.403
CC(=O)Nc1cccnc1NC=CNc1cc(F)ccc1C,-8.653
CNC(=O)Nc1cc2ccc1C(=Cc1ccccc1CN)OCC2,-7.251
CCNC(=O)c1ccccc1Cl,-6.748
COCNC(=O)c1ccc(F)cc1Cl,-7.042
Cc1cccc(-c2ccc(F)cc2F)c1,-8.638
COCc1ccc(F)cc1F,-6.37
CCC=CC=CCOc1ccc(F)cc1CNC,-7.409
CNC(=O)c1ccccc1C1OCCNC1c1ccccc1Cl,-7.662
Cc1ccc(F)cc1CC=Cc1ccccc1Cl,-9.591
O=C(NC1N=CC=CC2OCC=C2N1)c1ccccn1,-7.449
NC(=O)SC=CC=C(F)CNC(=O)Nc1ccc(F)cc1F,-8.558
CCNC(=O)c1ccc(F)cc1F,-6.902
C=CC(N)=CC=Cc1nccc(=O)n1CCC,-7.431
Cc1nncnc1CC(=O)NC(C)C,-6.54
Clc1ccccc1-c1ccsc1,-6.778
CNC(=O)c1ccc(F)cc1Cl,-6.414
O=C(Nc1ccc(F)cc1F)NC1C=CN=CC=CC1,-7.49
O=C(NCC1=CC(=CC=CF)NC=C1)c1ccccc1,-9.155
COC=CC=CC=CCNC(=O)c1ccc(F)cc1F,-8.508
CC(=O)Nc1cccc(C(=O)c2c(F)cccc2Cl)c1,-8.871
CC=CC1=C(C(=O)Nc2ccccc2Cc2ccccc2)CC=N1,-9.292
Fc1ccc(C2=COCN=CC=CC=CC2)c(F)c1,-6.564
C=Cc1ccccc1C(C=CC)SC(=O)NC(C)=O,-7.768
[NH]C1(c2ccccc2NCc2ccc(F)cc2F)CCCNC(=O)CC=CC=N1,-7.757
Cc1ccc(O)cc1CF,-6.249
NCCC(=O)NCCC1=C(c2ccc(F)cc2)C=CCC1,-8.999
CC=c1cccc(C)c1=CC=Cc1cccncncc(C(=O)NCNC(C)=O)c1,-10.05
CCCNC(=O)OCC(C)(C)CCNC(=O)c1ccccc1,-7.852
O=C(NC1=CCC=CC=C1)c1ccccc1Cl,-7.207
Cc1ccc(Br)cc1CC(=CC=O)N1CCOCC1,-7.366
Cc1cccc(CC=O)c1,-6.274
CCCN1C(=O)CN(O)CCc2cccc(CC34N=CC3N4)c21,-6.323
O=C1C=CC(Nc2ccc(F)cc2Cl)C(=O)c2ccccc2N1,-7.524
C=C1OC=CC(C)C=CNC(=O)NC(=CC=CC)Nc2ccc(F)cc21,-7.229
O=CCNc1ccccc1C(=O)O,-6.767
COc1ccc(F)cc1Cl,-5.896
CC(C)(C)C1=Cn2nc3cccnc3c2NCc2ccc(F)cc2C(=O)NC=C1,-7.932
CC1Cc2ccccc2C(=O)[C@H](Cc2ccccc2)CCN1,-6.996
O=S1C=C(c2ccc(F)cc2F)C=CN1,-7.817
O=CC(O)c1ccc(F)cc1Cl,-6.517
CC1C=CCC=CC=C1C(=O)Nc1ccc(F)cc1F,-7.431
CC=CC=C1OC=CC=C1NC(=O)Nc1ccc(F)cc1F,-9.872
CC=CC=CCOc1ccc(F)cc1CC(=O)NSF,-7.581
CC(C)C(=O)NC(=O)Nc1cccc(F)c1F,-7.466
CSc1cc(F)ccc1F,-5.688
O=C(NC1=CC=CC1)Nc1ccc(F)cc1Cl,-8.809
Oc1cccc2c1C(c1ccc(F)cc1F)=CCC=C2F,-8.722
CCOC=CC=NC1C=C2C=NCN=C2CCc2ccc(F)cc2C(=O)N1,-7.134
CC(C)(O)NCc1ccccc1Cl,-6.446
Cc1ccccc1CNC(=O)C1=CC=CC(CF)=CC=CC1,-7.511
CC(=O)c1ccccc1F,-6.401
NC(=O)c1ccc(F)cc1C(C=CC=CCF)=CF,-8.058
O=C1C=CC(Nc2ccc(F)cc2F)ONC1,-6.53
CC(C)=CCNc1ccc(F)cc1Cl,-7.301
COC(=O)C=CCC=C(O)c1ccc(F)cc1F,-8.406
Nc1ccc(Cl)cc1NC=CCC(=O)N=Cc1ccccc1Cl,-8.974
CC(=O)Nc1ccccn1,-5.869
COC=CC=CCNC(=O)NC=Cc1ccccc1Cl,-7.86
O=C1C=CC=C(c2ccccc2Cl)C(O)COCCN1,-5.786
N=C1CC=CC=CC=C1Sc1ccccn1,-5.957
Cc1ccc(F)cc1N=CC(N)=O,-6.696
Fc1ccc(C2(C=NCc3ccccc3)NC=CC=CNCS2)c(F)c1,-7.25
CN1CC=CC=C(CNC(C)(O)NCCC(F)c2cccc(F)c2)C1,-7.483
CC=CCNC(=O)COc1cc2cc(C)c1-2,-7.433
c1ccc(SC2=NCC2)cc1,-6.258
COc1ccccc1Cl,-5.525
CC(N)[C@@H]1N=C(N)C=CC=CC=C(C=O)C(c2c(F)cccc2Cl)=Cc2cc(F)ccc2N1,-6.203
